ANTHRO 2201F - URBAN ANTHROPOLOGY,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '11:30 AM', '1:30 PM', 'SSC-3102', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '12:30 PM', '1:30 PM', 'SSC-3102']]"
ANTHRO 2243F - APPLIED LINGUISTICS,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '11:30 AM', '1:30 PM', 'UCC-66', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '1:30 PM', '2:30 PM', 'UCC-66']]"
ANTHRO 2272F - ANTHROPOLOGY OF TOURISM,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 4493F - ADV SPEC TP IN ANTHROPOLOGY,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '4:30 PM', 'SSC-3315']]"
ANTHRO 2283F - REFUGEES AND THE DISPLACED,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '12:30 PM', 'UCC-65']]"
ANTHRO 1027A - INTRO TO LINGUISTICS,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '11:30 AM', '1:30 PM', 'SEB-1059', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'SSC-3220', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'SSC-3220', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '4:30 PM', '5:30 PM', 'SSC-3220', '', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '7:00 PM', '9:00 PM', 'SSC-3028', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
ANTHRO 3351G - SOCIETY AND CULTURE II,"[['', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '9:30 AM', '12:30 PM', 'SSC-2257']]"
ANTHRO 1020E - MANY WAYS OF BEING HUMAN,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', '3M-3250', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '1:30 PM', '2:30 PM', 'SSC-3010', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'SSC-3010', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'SSC-3010', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '4:30 PM', '5:30 PM', 'SSC-3010', '', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '4:30 PM', 'SSC-2032', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '1:30 PM', '2:30 PM', '', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', '', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '4:30 PM', '5:30 PM', '']]"
ANTHRO 2217G - 1ST NATIONS TRAD CULT OF CAN,"[['', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '11:30 AM', '2:30 PM', 'SH-3317']]"
ANTHRO 2100 - ARCH &amp; WORLD PREHISTORY,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
